AirContaminantId	KazHydrometAirPostId	Month	PollutantConcentrationMaximumOneTimePerMonth	PollutantConcentrationMaximumOneTimePerMonthDay	PollutantConcentrationMonthlyAverage	Year	PollutantConcentrationMaximumOneTimeMonth	PollutantConcentrationMaximumOneTimePerYear	PollutantConcentrationYearlyAverage
179	3	8	0.7	11	0.282	2007			
179	3	4	0.7	5	0.249494949	2007			
179	3	12	0.8	6	0.293478261	2007			
179	3	7	0.9	13	0.327884615	2007			
179	3	6	0.9	22	0.311538462	2007			
179	3	5	0.8	11	0.274226804	2007			
179	3	3	1	17	0.267	2007			
179	3	11	1.1	30	0.345192308	2007			
179	3	10	0.7	27	0.2875	2007			
179	3	9	0.7	8	0.315841584	2007			
179	3	2	1.4	9	0.357291667	2007			
179	3	1	0.9	23	0.385858586	2007			
179	3	8	0.8	2	0.2415	2008			
179	3	4	1	22	0.397692308	2008			
179	3	12	1.1	6	0.314583333	2008			
179	3	7	0.6	16	0.281730769	2008			
179	3	6	0.8	17	0.282828283	2008			
179	3	5	0.8	31	0.273195876	2008			
179	3	3	1.1	15	0.354166667	2008			
179	3	11	1.2	21	0.426	2008			
179	3	10	0.7	7	0.238888889	2008			
179	3	9	0.96	15	0.3363	2008			
179	3	2	1	8	0.3493	2008			
179	3	1	0.9	26	0.441758242	2008			
179	3	8	0.5	3	0.215	2009			
179	3	4	0.6	1	0.148514851	2009			
179	3	12	0.7	31	0.244	2009			
179	3	7	0.6	14	0.222115385	2009			
179	3	6	3	3	0.298076923	2009			
179	3	5	0.4	2	0.172826087	2009			
179	3	3	0.7	16	0.263541667	2009			
179	3	11	0.6	3	0.26	2009			
179	3	10	0.5	5	0.187037037	2009			
179	3	9	0.8	3	0.264615385	2009			
179	3	2	0.7	9	0.203125	2009			
179	3	1	1.1	27	0.366413043	2009			
179	3	8	0.5	3	0.135	2010			
179	3	4	0.7	1	0.217307692	2010			
179	3	12	0.8	9	0.2174	2010			
179	3	7	0.5	30	0.236730769	2010			
179	3	6	0.63	22	0.184134615	2010			
179	3	5	0.5	5	0.161630435	2010			
179	3	3	0.5	2	0.190217391	2010			
179	3	11	0.5	12	0.199	2010			
179	3	10	0.4	1	0.135576923	2010			
179	3	9	0.5	22	0.158653846	2010			
179	3	2	0.8	13	0.238541667	2010			
179	3	1	0.8	11	0.280681818	2010			
179	3	4	0.2	6	0.048076923	2011			
179	3	12	0.6	24	0.17	2011			
179	3	7	0.2	9	0.044	2011			
179	3	6	0.1	1	0.052884615	2011			
179	3	5	0.2	4	0.076041667	2011			
179	3	3	0.3	9	0.07826087	2011			
179	3	11	0.7	17	0.1375	2011			
179	3	10	0.4	15	0.086538462	2011			
179	3	9	0.2	2	0.095192308	2011			
179	3	2	0.3	16	0.09375	2011			
179	3	1	0.7	28	0.254347826	2011			
179	3	8	5.9	28	0.148076923	2012			
179	3	4	0.3	12	0.116	2012			
179	3	12	0.5	7	0.155434783	2012			
179	3	7	0.2	2	0.106	2012			
179	3	6	0.4	12	0.107692308	2012			
179	3	5	0.4	21	0.115	2012			
179	3	3	0.4	3	0.114130435	2012			
179	3	11	0.4	14	0.120192308	2012			
