MeasuredParameterId	DateTime	Value	EcomonMonitoringPoint	Ecomontimestamp_ms	KazHydrometAirPostId	MaxValueDay	MaxValueMonth	Month	Year	MaxValuePerMonth	MaxValuePerYear
16		0.165837756			16				2016		98
16		0.0770646			14				2016		69
17		0.85807331			15	12	10		2017		20.2719
17		1.864534591			14				2014		18.1081
17		1.413154974			15				2014		13.2007
17		1.513616667			16				2014		11.4173
17		1.255611155			11				2014		11.2621
17		0.323016429			13				2015		10.9746
17		1.144727514			16				2015		10.7
12		0.65337578			14				2016		9.9
17		0.912727027			11				2015		9.4361
17		0.823097445			15				2015		9.4318
17		1.310915			12				2014		9.3283
17		0.621927774			12				2015		7.9871
17		1.45349798			13				2014		7.8069
12		0.885301293			15				2016		7.364
12		0.769223359			16				2016		7.2
12		0.333353415			13				2016		7.0291
13		0.082358602			16				2016		6
17		0.895308199			11	23	2		2017		5.9632
17		0.303359735			13	9	2		2017		5.7497
12		0.634807024			11				2016		4.8878
13		0.210018937			15				2016		4.4239
13		0.107487667			14				2016		3.87853
16		0.144614368			13				2015		2
16		0.25725906			15				2016		2
16		0.060236378			11				2015		1.8071
13		0.040978877			13				2016		1.7914
16		0.018372599			11	21	8		2017		1.715
16		0.045370833			12				2014		1.6922
16		0.087796491			16				2014		1.1291
16		0.056946969			13	25	7		2017		1.1269
16		0.039987186			11				2016		1.0045
17		0.006333733			13				2016		1
17		0.057169428			11				2016		1
13		0.045033071			12				2014		1
12		0.018879528			12				2014		1
12		0.050646018			13				2014		0.9997
13		0.128134513			13				2014		0.9994
12		0.122772694			12				2016		0.9152
12		0.030338989			11				2015		0.8706
17		0.076804665			14				2016		0.8565
17		0.609878164			16	18	1		2017		0.74645
12		0.033712346			11				2014		0.714
12		0.043989887			14	12	10		2017		0.70191
16		0.05099919			12				2015		0.6894
12		0.033878111			16	18	1		2017		0.68253
16		0.048293678			16				2015		0.6635
12		0.039571196			15	27	10		2017		0.65747
13		0.072169808			12				2016		0.6351
12		0.022741122			12	27	1		2017		0.60148
16		0.026789226			12				2016		0.58974
12		0.039935577			11	24	7		2017		0.5648
16		0.025135079			15				2014		0.5288
12		0.016838218			13				2015		0.4786
13		0.090673881			11				2014		0.451
13		0.0344236			11				2016		0.4474
13		0.029828736			13				2015		0.3841
17		0.104567977			15				2016		0.365863
13		0.059899013			14	9	2		2017		0.356064
13		0.048017274			16	19	1		2017		0.345149
13		0.044409988			12	19	1		2017		0.340992
13		0.091337836			15	4	9		2017		0.330457
16		0.028679325			11				2014		0.3076
17		0.055232098			16				2016		0.292102
13		0.039823884			11	27	1		2017		0.269
12		0.004546154			15				2014		0.2674
16		0.074669912			14	19	7		2017		0.250979
16		0.015019331			15	4	4		2017		0.250824
16		0.078499086			16	1	8		2017		0.224299
17		0.035824569			12				2016		0.216274
16		0.010852212			13				2014		0.2109
16		0.008343939			14				2014		0.1882
16		0.104440629			12	25	7		2017		0.187714
16		0.007376667			15				2015		0.1767
13		0.014579874			14				2014		0.1256
13		0.006184204			13	8	5		2017		0.119
13		0.036406452			16				2014		0.1162
13		0.005758974			15				2014		0.1138
17		0.100123766			14	9	2		2017		0.103401
17		0.063555695			12	19	1		2017		0.088891
12		0.005134375			13	29	10		2017		0.0214
12		0.001722581			16				2014		0.0135
16		0.005052405			13				2016		0.0132
12		0.001302516			14				2014		0.0048
14		0.282			1	11		8	2007	0.7	
14		0.249494949			1	5		4	2007	0.7	
14		0.293478261			1	6		12	2007	0.8	
14		0.327884615			1	13		7	2007	0.9	
14		0.311538462			1	22		6	2007	0.9	
14		0.274226804			1	11		5	2007	0.8	
14		0.267			1	17		3	2007	1	
14		0.345192308			1	30		11	2007	1.1	
14		0.2875			1	27		10	2007	0.7	
14		0.315841584			1	8		9	2007	0.7	
14		0.357291667			1	9		2	2007	1.4	
14		0.385858586			1	23		1	2007	0.9	
14		0.2415			1	2		8	2008	0.8	
14		0.397692308			1	22		4	2008	1	
14		0.314583333			1	6		12	2008	1.1	
14		0.281730769			1	16		7	2008	0.6	
14		0.282828283			1	17		6	2008	0.8	
14		0.273195876			1	31		5	2008	0.8	
14		0.354166667			1	15		3	2008	1.1	
14		0.426			1	21		11	2008	1.2	
14		0.238888889			1	7		10	2008	0.7	
14		0.3363			1	15		9	2008	0.96	
14		0.3493			1	8		2	2008	1	
14		0.441758242			1	26		1	2008	0.9	
14		0.215			1	3		8	2009	0.5	
14		0.148514851			1	1		4	2009	0.6	
14		0.244			1	31		12	2009	0.7	
14		0.222115385			1	14		7	2009	0.6	
14		0.298076923			1	3		6	2009	3	
14		0.172826087			1	2		5	2009	0.4	
14		0.263541667			1	16		3	2009	0.7	
14		0.26			1	3		11	2009	0.6	
14		0.187037037			1	5		10	2009	0.5	
14		0.264615385			1	3		9	2009	0.8	
14		0.203125			1	9		2	2009	0.7	
14		0.366413043			1	27		1	2009	1.1	
14		0.135			1	3		8	2010	0.5	
14		0.217307692			1	1		4	2010	0.7	
14		0.2174			1	9		12	2010	0.8	
14		0.236730769			1	30		7	2010	0.5	
14		0.184134615			1	22		6	2010	0.63	
14		0.161630435			1	5		5	2010	0.5	
14		0.190217391			1	2		3	2010	0.5	
14		0.199			1	12		11	2010	0.5	
14		0.135576923			1	1		10	2010	0.4	
14		0.158653846			1	22		9	2010	0.5	
14		0.238541667			1	13		2	2010	0.8	
14		0.280681818			1	11		1	2010	0.8	
14		0.048076923			1	6		4	2011	0.2	
14		0.17			1	24		12	2011	0.6	
14		0.044			1	9		7	2011	0.2	
14		0.052884615			1	1		6	2011	0.1	
14		0.076041667			1	4		5	2011	0.2	
14		0.07826087			1	9		3	2011	0.3	
14		0.1375			1	17		11	2011	0.7	
14		0.086538462			1	15		10	2011	0.4	
14		0.095192308			1	2		9	2011	0.2	
14		0.09375			1	16		2	2011	0.3	
14		0.254347826			1	28		1	2011	0.7	
14		0.148076923			1	28		8	2012	5.9	
14		0.116			1	12		4	2012	0.3	
14		0.155434783			1	7		12	2012	0.5	
14		0.106			1	2		7	2012	0.2	
