AdditionalInformationKK	AdditionalInformationRU	EastLongitude	NameKK	NameRU	NorthLatitude	Number	SamplingTermId	SamplingType	Type
"1
2
3"	"4
5
6"	76.85114622116089	Test 1	Test 1	43.21923278903276	99	2	f	t
	взвешенные частицы (пыль), диоксид серы, оксид углерода, диоксид азота, фенол, формальдегид	76.932778	ПНЗ №1	ПНЗ №1	43.233889	1	1	t	t
	взвешенные частицы (пыль), диоксид серы, оксид углерода, диоксид азота, фенол, формальдегид	76.934167	ПНЗ №12	ПНЗ №12	43.268889	12	2	t	t
	взвешенные частицы (пыль), диоксид серы, оксид углерода, диоксид азота, фенол, формальдегид	76.920556	ПНЗ №16	ПНЗ №16	43.324722	16	2	t	t
	взвешенные частицы (пыль), диоксид серы, оксид углерода, диоксид азота, фенол, формальдегид	76.833056	ПНЗ №25	ПНЗ №25	43.232592	25	2	t	t
	взвешенные частицы (пыль), диоксид серы, оксид углерода, диоксид азота, фенол, формальдегид	76.875833	ПНЗ №26	ПНЗ №26	43.250278	26	2	t	t
	взвешенные частицы PM 2,5, взвешенные частицы PM 10, диоксид серы, оксид углерода, диоксид азота, оксид азота	77.039444	ПНЗ №27	ПНЗ №27	43.170556	27	3	f	t
	взвешенные частицы PM 2,5, взвешенные частицы PM 10, диоксид серы, оксид углерода, диоксид азота, оксид азота	77.005281	ПНЗ №28	ПНЗ №28	43.355781	28	3	f	t
	взвешенные частицы PM 2,5, взвешенные частицы PM 10, диоксид серы, оксид углерода, диоксид азота, оксид азота	76.952222	ПНЗ №29	ПНЗ №29	43.337778	29	3	f	t
	взвешенные частицы PM 2,5, взвешенные частицы PM 10, оксид углерода, диоксид азота, оксид азота	76.851811	ПНЗ №30	ПНЗ №30	43.298039	30	3	f	t
	взвешенные частицы PM 2,5, взвешенные частицы PM 10, диоксид серы, оксид углерода, диоксид азота, оксид азота	76.884444	ПНЗ №31	ПНЗ №31	43.193611	31	3	f	t
	диоксид серы, оксид углерода, диоксид азота, оксид азота	76.8738	ПНЗ №1	ПНЗ №1	43.235639	1	3	f	f
	диоксид серы, оксид углерода, диоксид азота, оксид азота	76.926539	ПНЗ №2	ПНЗ №2	43.219967	2	3	f	f
	диоксид серы, оксид углерода, диоксид азота, оксид азота	76.874481	ПНЗ №3	ПНЗ №3	43.204161	3	3	f	f
	диоксид серы, оксид углерода, диоксид азота, оксид азота	76.851231	ПНЗ №4	ПНЗ №4	43.283903	4	3	f	f
	диоксид серы, оксид углерода, диоксид азота, оксид азота	76.930572	ПНЗ №5	ПНЗ №5	43.235647	5	3	f	f
	диоксид серы, оксид углерода, диоксид азота, оксид азота	76.954444	ПНЗ №6	ПНЗ №6	43.251111	6	3	f	f
