Number	Name	AdditionalInformation	NorthLatitude	EastLongitude
12	ПНЗ №12	взвешенные частицы (пыль), диоксид серы, оксид углерода, диоксид азота, фенол, формальдегид	43.268889	76.934167
16	ПНЗ №16	взвешенные частицы (пыль), диоксид серы, оксид углерода, диоксид азота, фенол, формальдегид	43.324722	76.920556
25	ПНЗ №25	взвешенные частицы (пыль), диоксид серы, оксид углерода, диоксид азота, фенол, формальдегид	43.232592	76.833056
26	ПНЗ №26	взвешенные частицы (пыль), диоксид серы, оксид углерода, диоксид азота, фенол, формальдегид	43.250278	76.875833
27	ПНЗ №27	взвешенные частицы PM 2,5, взвешенные частицы PM 10, диоксид серы, оксид углерода, диоксид азота, оксид азота	43.170556	77.039444
28	ПНЗ №28	взвешенные частицы PM 2,5, взвешенные частицы PM 10, диоксид серы, оксид углерода, диоксид азота, оксид азота	43.355781	77.005281
29	ПНЗ №29	взвешенные частицы PM 2,5, взвешенные частицы PM 10, диоксид серы, оксид углерода, диоксид азота, оксид азота	43.337778	76.952222
30	ПНЗ №30	взвешенные частицы PM 2,5, взвешенные частицы PM 10, оксид углерода, диоксид азота, оксид азота	43.298039	76.851811
31	ПНЗ №31	взвешенные частицы PM 2,5, взвешенные частицы PM 10, диоксид серы, оксид углерода, диоксид азота, оксид азота	43.193611	76.884444
1	ПНЗ №1	диоксид серы, оксид углерода, диоксид азота, оксид азота	43.235639	76.8738
2	ПНЗ №2	диоксид серы, оксид углерода, диоксид азота, оксид азота	43.219967	76.926539
3	ПНЗ №3	диоксид серы, оксид углерода, диоксид азота, оксид азота	43.204161	76.874481
4	ПНЗ №4	диоксид серы, оксид углерода, диоксид азота, оксид азота	43.283903	76.851231
5	ПНЗ №5	диоксид серы, оксид углерода, диоксид азота, оксид азота	43.235647	76.930572
6	ПНЗ №6	диоксид серы, оксид углерода, диоксид азота, оксид азота	43.251111	76.954444
